factor,performance_begin,performance_clockDuration,performance_duration,performance_end,performance_realTimeFactor,performance_traciDuration,vehicleTripStatistics_count,vehicleTripStatistics_departDelay,vehicleTripStatistics_departDelayWaiting,vehicleTripStatistics_duration,vehicleTripStatistics_routeLength,vehicleTripStatistics_speed,vehicleTripStatistics_timeLoss,vehicleTripStatistics_totalDepartDelay,vehicleTripStatistics_totalTravelTime,vehicleTripStatistics_waitingTime,vehicles_inserted
0.5,600.00,0.20,1800.00,2400.00,9045.23,2.14,250,0.07,-1.00,46.91,601.45,12.52,18.53,18.00,11728.00,0.79,256
0.6,600.00,0.21,1800.00,2400.00,8780.49,2.88,302,0.08,-1.00,46.66,599.47,12.53,18.47,25.00,14090.00,0.75,309
0.7,600.00,0.25,1800.00,2400.00,7114.62,1.41,358,0.10,-1.00,46.82,598.33,12.46,18.70,36.00,16763.00,0.82,368
0.8,600.00,0.19,1800.00,2400.00,9625.67,1.97,405,0.18,-1.00,47.03,599.34,12.45,18.86,74.00,19048.00,0.89,416
0.9,600.00,0.19,1800.00,2400.00,9375.00,1.41,457,0.22,-1.00,47.05,598.68,12.42,18.91,99.00,21500.00,0.90,466
1.0,600.00,0.21,1800.00,2400.00,8411.21,3.13,514,0.22,-1.00,47.25,598.30,12.38,19.10,114.00,24286.00,1.03,528
1.1,600.00,0.24,1800.00,2400.00,7659.57,1.59,561,0.20,-1.00,47.44,598.46,12.32,19.30,115.00,26615.00,1.03,576
1.2,600.00,0.25,1800.00,2400.00,7171.31,2.11,611,0.25,-1.00,47.81,599.45,12.27,19.54,154.00,29215.00,1.25,625
1.3,600.00,0.28,1800.00,2400.00,6498.19,0.00,664,0.23,-1.00,47.97,599.28,12.23,19.76,155.00,31855.00,1.23,683
1.4,600.00,0.30,1800.00,2400.00,5940.59,0.97,724,0.24,-1.00,47.96,599.52,12.22,19.78,175.00,34722.00,1.28,740
1.5,600.00,0.40,1800.00,2400.00,4488.78,0.54,785,0.33,-1.00,48.05,597.78,12.14,19.95,260.00,37718.00,1.27,806
1.6,600.00,0.36,1800.00,2400.00,5042.02,0.00,817,0.33,-1.00,49.13,598.63,11.97,20.99,268.00,40138.00,1.48,839
1.7,600.00,0.39,1800.00,2400.00,4663.21,5.34,899,0.40,-1.00,49.30,596.67,11.91,21.29,358.00,44318.00,1.66,924
1.8,600.00,0.45,1800.00,2400.00,3982.30,4.60,919,0.44,-1.00,50.63,599.33,11.72,22.51,407.00,46532.00,2.05,941
1.9,600.00,0.45,1800.00,2400.00,3964.76,0.90,1018,0.53,-1.00,53.73,596.85,11.13,25.73,541.00,54700.00,2.25,1049
2.0,600.00,0.48,1800.00,2400.00,3750.00,2.47,1028,0.48,-1.00,57.67,597.14,10.66,29.69,493.00,59284.00,2.69,1061
2.1,600.00,0.69,1800.00,2400.00,2612.48,4.28,1087,17.54,-1.00,79.66,587.46,8.94,52.20,19065.00,86587.00,3.25,1137
2.2,600.00,0.77,1800.00,2400.00,2346.81,4.11,1080,24.74,-1.00,84.97,586.91,8.46,57.60,26720.00,91768.00,3.99,1142
2.3,600.00,0.83,1800.00,2400.00,2168.67,1.98,1093,26.21,-1.00,92.50,588.01,8.15,65.11,28647.00,101108.00,4.40,1163
2.4,600.00,0.86,1800.00,2400.00,2088.17,1.12,1109,29.64,-1.00,99.01,585.04,7.87,71.68,32869.00,109806.00,5.00,1190
2.5,600.00,1.02,1800.00,2400.00,1773.40,2.67,1137,64.83,-1.00,109.17,572.45,7.43,82.65,73718.00,124133.00,5.21,1230
2.6,600.00,1.05,1800.00,2400.00,1719.20,1.89,1147,64.71,-1.00,109.24,574.40,7.32,82.57,74218.00,125296.00,5.27,1249
2.7,600.00,1.16,1800.00,2400.00,1554.40,0.55,1170,76.40,-1.00,111.15,570.99,7.23,84.73,89384.00,130042.00,5.98,1272
2.8,600.00,1.33,1800.00,2400.00,1353.38,1.61,1156,79.68,-1.00,125.85,569.61,7.34,99.39,92109.00,145488.00,5.78,1267
2.9,600.00,1.33,1800.00,2400.00,1357.47,2.28,1149,102.43,-1.00,123.93,575.79,7.21,97.27,117690.00,142396.00,5.05,1262
3.0,600.00,1.50,1800.00,2400.00,1204.01,3.33,1186,123.53,-1.00,135.96,572.34,5.97,109.52,146507.00,161253.00,5.98,1315
3.1,600.00,2.00,1800.00,2400.00,900.45,2.83,1176,127.00,-1.00,143.14,572.26,5.92,116.72,149350.00,168338.00,5.87,1304
3.2,600.00,1.62,1800.00,2400.00,1108.37,2.01,1204,136.09,-1.00,141.70,570.41,5.99,115.29,163853.00,170608.00,6.94,1333
3.3,600.00,1.74,1800.00,2400.00,1036.27,2.02,1222,129.66,-1.00,143.58,571.10,5.95,117.17,158445.00,175459.00,7.20,1352
3.4,600.00,1.70,1800.00,2400.00,1058.20,1.41,1218,124.55,-1.00,144.85,569.89,6.17,118.43,151705.00,176423.00,7.33,1346
3.5,600.00,1.93,1800.00,2400.00,933.13,2.93,1203,150.15,-1.00,152.37,574.90,5.88,125.79,180627.00,183305.00,8.06,1331
3.6,600.00,1.72,1800.00,2400.00,1045.30,0.01,1212,147.45,-1.00,151.49,573.31,5.91,124.85,178708.00,183600.00,7.50,1335
3.7,600.00,2.38,1800.00,2400.00,755.67,1.22,1191,224.52,-1.00,154.53,583.79,5.89,127.61,267400.00,184047.00,7.82,1318
3.8,600.00,2.73,1800.00,2400.00,660.55,3.77,1235,218.22,-1.00,152.05,577.26,5.88,125.40,269501.00,187787.00,7.17,1363
3.9,600.00,2.78,1800.00,2400.00,647.95,2.19,1235,225.65,-1.00,150.47,579.82,5.84,123.59,278683.00,185837.00,7.99,1363
4.0,600.00,2.40,1800.00,2400.00,751.57,0.28,1257,215.72,-1.00,148.83,573.71,6.05,122.30,271155.00,187075.00,7.30,1382
4.1,600.00,2.52,1800.00,2400.00,715.71,1.78,1215,235.01,-1.00,159.16,580.60,5.73,132.15,285543.00,193382.00,8.66,1344
4.2,600.00,4.03,1800.00,2400.00,446.98,0.96,1223,212.06,-1.00,160.12,583.45,5.90,133.17,259344.00,195832.00,10.22,1353
4.3,600.00,3.04,1800.00,2400.00,591.52,2.81,1233,217.19,-1.00,157.75,583.61,5.92,130.77,267802.00,194502.00,9.17,1365
4.4,600.00,2.70,1800.00,2400.00,666.17,2.25,1253,215.68,-1.00,156.20,582.01,5.99,129.32,270247.00,195716.00,8.33,1375
4.5,600.00,2.92,1800.00,2400.00,616.44,2.91,1248,224.14,-1.00,156.35,584.64,5.87,129.31,279727.00,195121.00,7.96,1378
4.6,600.00,2.88,1800.00,2400.00,625.87,7.90,1239,218.58,-1.00,157.81,579.42,5.94,131.05,270819.00,195521.00,9.35,1372
