type,saida-uf,saida-morro,saida-sp,factor
bus,0.0040093255664108585,0.0037390172338616105,0.0033200792775161274,0.5
car,0.11293195160446648,0.10645970270919444,0.0682421768586849,0.5
bus,0.005959898634717469,0.00684083829762866,0.00443329857032421,1.0
car,0.2241023661543498,0.20750476530986434,0.1355673101773816,1.0
bus,0.006548245530329633,0.007298354305158158,0.003289180923774196,1.5
car,0.28348829356362437,0.19841968903367196,0.11358406459174446,1.5
bus,0.006509914400394818,0.0065710408087023085,0.0031965508654657844,2.0
car,0.27382591163498077,0.19979744434133456,0.12729140759875507,2.0
bus,0.0054241200290962525,0.005259262847011125,0.002576067909033217,2.5
car,0.29914301632281504,0.19514950280421012,0.11069650242462051,2.5
bus,0.006442608737436725,0.00595061891655657,0.002940403768915501,3.0
car,0.2878271598697243,0.20276738374496897,0.11086472276599704,3.0
