type,saida-uf,saida-morro,saida-sp,factor
bus,0.001689806788542803,0.0020657113262270974,0.0008531025483944039,0.5
car,0.05536100018206713,0.053802791439776156,0.03350973259622025,0.5
bus,0.0020595937807847604,0.0021739354774303805,0.0011345835347882922,0.6
car,0.06698205874237276,0.0634223853767893,0.03929017505543277,0.6
bus,0.0025839800949703272,0.001796204256447788,0.0015115186733401858,0.7
car,0.07923133393666743,0.07530087178504431,0.047109722488591896,0.7
bus,0.002446784091864706,0.002407342847904167,0.0018140182737734507,0.8
car,0.0891462944324138,0.08370194968729505,0.053401788533248694,0.8
bus,0.0028785504298033033,0.0031036675860446157,0.0020915099146911636,0.9
car,0.09920660393659606,0.09424989840219064,0.06038486359051866,0.9
bus,0.003333333333333333,0.003594040617151672,0.0024720006691408844,1.0
car,0.11271097159608741,0.1063180816596924,0.06761453546721115,1.0
bus,0.003058544086816669,0.0038615094139569013,0.0028468609152067434,1.1
car,0.12203118129860166,0.11623405620575107,0.07568816294578568,1.1
bus,0.0034256718472553196,0.00403971118808741,0.002412262122642645,1.2
car,0.13283086594445578,0.125070406416337,0.08045611963140817,1.2
bus,0.0035323288722754116,0.00455611643268295,0.0027027086173816843,1.3
car,0.14545543524937105,0.13658556580853956,0.08699640991480395,1.3
bus,0.0038895538624573386,0.004158749590327223,0.003023925643071178,1.4
car,0.15775286952546302,0.14983120145281054,0.09368919475283262,1.4
bus,0.004286349738949039,0.004592001023118706,0.0032987208639292443,1.5
car,0.17232056573186522,0.16385647050099245,0.100899847505548,1.5
bus,0.004714212670594832,0.005404783732141694,0.0029726839548368466,1.6
car,0.17671611242821383,0.16702551742985955,0.10979007926273263,1.6
bus,0.00506267176027048,0.005741881178772777,0.0031917124570449797,1.7
car,0.1947851317886003,0.18390946636786745,0.1199877085018298,1.7
bus,0.0051813918003436555,0.006201197834757874,0.0034722443062654524,1.8
car,0.20027044782764092,0.18746497207031926,0.12131125226428001,1.8
bus,0.005604036377415275,0.006388770206399358,0.0037165080596164245,1.9
car,0.22482368509996076,0.2051117037769345,0.1323354918884773,1.9
bus,0.00598165688838623,0.0068553087167289185,0.003624073086083074,2.0
car,0.22411859565144238,0.2087976941416346,0.13505226551138733,2.0
bus,0.00515349694585452,0.0065900138520695595,0.0038652897993247696,2.1
car,0.25489083584122796,0.2138972525968809,0.13163108808800864,2.1
bus,0.005481142550876084,0.006873678670366076,0.003570111564697246,2.2
car,0.25539815666502336,0.21392341557666006,0.13250895200015902,2.2
bus,0.005730046290464743,0.007256049797214512,0.003729310818141397,2.3
car,0.26378596981285646,0.21759704000966348,0.1320791652051169,2.3
bus,0.00604305407954553,0.007532779297481025,0.004111914193996778,2.4
car,0.26309872515176214,0.21736370387252837,0.1475196236789622,2.4
bus,0.00638652252588365,0.007929786539870245,0.0038502623488548653,2.5
car,0.30103521237453257,0.22326315561721505,0.12546027291761383,2.5
bus,0.006428335743124758,0.008273292332621498,0.00424987312732805,2.6
car,0.3001237921524369,0.22336349672529163,0.1269689265726054,2.6
bus,0.006755200435876299,0.007907870472883634,0.0043472366818712764,2.7
