type,saida-morro,saida-uf,saida-sp,factor
bus,0.0033925908321749887,0.0029708857170907556,0.001717342300940304,0.5
car,0.03656204945170296,0.039129033972730876,0.023585199920511366,0.5
bus,0.0036038637907785135,0.0031867529877280657,0.0024393408761052902,0.6
car,0.04464860779461042,0.04692984454492811,0.02854180355617566,0.6
bus,0.004403646322568875,0.00347786109712866,0.003032140969972661,0.7
car,0.05235312952485118,0.054833337314074235,0.032619924886546685,0.7
bus,0.0048876113682297054,0.004176143852238313,0.002459433889157273,0.8
car,0.060447344951656566,0.06239283648950036,0.0376595454368396,0.8
bus,0.00529288003344521,0.005136125959473943,0.0028756409335737193,0.9
car,0.06839099447156913,0.07027590984761026,0.04230674751676081,0.9
bus,0.005998401065956029,0.005323573534159678,0.0030814796102152423,1.0
car,0.07464024401046128,0.07923133393666743,0.04720849454399606,1.0
bus,0.005798450382168187,0.0050841747856227425,0.0037355677245836465,1.1
car,0.08352442079556208,0.08486087822532787,0.05089211621623241,1.1
bus,0.006701602767642684,0.005750093353647484,0.00426781431621815,1.2
car,0.08837261660673895,0.0934489674982073,0.05579875715426989,1.2
bus,0.0071284331728667955,0.006310251848252599,0.004742560495808981,1.3
car,0.09969245023054364,0.10052263759846972,0.06093835997255069,1.3
bus,0.0080055243954518,0.006942047566837081,0.004862643931326713,1.4
car,0.10627504413279884,0.11286398113305618,0.06468241424957571,1.4
bus,0.008730425334308952,0.007650134623639131,0.0053248208025358955,1.5
car,0.11317354629430958,0.1199910731956948,0.07096269007812826,1.5
bus,0.008970230943798254,0.008300761431971768,0.00537766178499364,1.6
car,0.12332631810989432,0.12420859147588785,0.0762449292666246,1.6
bus,0.009478698270551299,0.008206367845048286,0.005817020277650563,1.7
car,0.1250985595784158,0.13284587345226614,0.0805151916286166,1.7
bus,0.009946224485110535,0.00875162545739429,0.006065021799480863,1.8
car,0.13682471359293752,0.1426320272538168,0.0869171227491998,1.8
bus,0.010295158715308696,0.009707581733056461,0.006565136698142143,1.9
car,0.14796420381108327,0.14563337539557192,0.08675822797803971,1.9
bus,0.010939662624023587,0.010101034350790166,0.006685360457008432,2.0
car,0.1499267860549024,0.1577409785056813,0.09364608691248125,2.0
bus,0.011389586178877312,0.01038671766118072,0.006465172698364011,2.1
car,0.16384018026163255,0.1721847502718208,0.10029673871128852,2.1
bus,0.012081469019943284,0.010156890991418484,0.007249110030497693,2.2
car,0.16691222418840643,0.17695580139962358,0.10157716850025462,2.2
bus,0.012735921752504176,0.010794013822470371,0.006905314922289493,2.3
car,0.18425820738893273,0.17686947157439736,0.1097305770695727,2.3
bus,0.013171089992822294,0.011613102258295862,0.007275425017155263,2.4
car,0.18421706901093088,0.19507815602112075,0.11083106179006016,2.4
bus,0.014218011474643211,0.012052379063008836,0.007439656331783262,2.5
car,0.1863266183197309,0.19997762928638593,0.12037701351805925,2.5
bus,0.013433387080330154,0.012962142203198437,0.007806329168771045,2.6
car,0.1995728320405331,0.19910084204899486,0.1188048070244335,2.6
bus,0.013853668143035309,0.013507169144257153,0.008430008970596673,2.7
car,0.197005794165214,0.22411036209912752,0.12828084028285983,2.7
bus,0.014293234324873866,0.013355239293497781,0.008728048537359362,2.8
car,0.1999109633104869,0.2246237583744577,0.1271460298958505,2.8
bus,0.01526636433594043,0.014203156032878476,0.008855125923949627,2.9
car,0.19919086102210146,0.22436320354276282,0.1279316575123819,2.9
bus,0.015267295227078878,0.01477205021447478,0.008338562177011552,3.0
car,0.20467639392116008,0.25505605484066984,0.12606007411863504,3.0
bus,0.01530858212869369,0.014636810180770482,0.008025494294219069,3.1
car,0.20516448605769919,0.25492444873436204,0.12511826127523448,3.1
bus,0.015968246406247426,0.015009446235398868,0.00849081357776384,3.2
car,0.20982885319035835,0.26032262089697483,0.12480306107210226,3.2
bus,0.016605690118443546,0.015236540390788797,0.008864858631070394,3.3
car,0.20889208090701566,0.2592212056015447,0.12477159168764454,3.3
bus,0.017104198538656384,0.015743647690414135,0.009024730838952994,3.4
car,0.20668538189065466,0.2570018358774729,0.13645410397764052,3.4
bus,0.015931259231540377,0.016083155751290247,0.008335600830389289,3.5
car,0.21549268611829525,0.29439490365345733,0.11805529890302764,3.5
bus,0.016319071880464213,0.016581046236160073,0.00858104804100914,3.6
car,0.21545431619488614,0.2944957937795037,0.11902878842673152,3.6
bus,0.01713905287171345,0.016971833941516978,0.008822844776155626,3.7
car,0.21406651344033545,0.2932259212449977,0.11815848270534071,3.7
bus,0.01774279826270036,0.0176930885727262,0.008425875109299898,3.8
car,0.22117147261211295,0.29187701768980884,0.11803543572367776,3.8
bus,0.0181757408407655,0.01737931778809143,0.008368324171501757,3.9
car,0.22024947490007482,0.29271698663341084,0.12940476003985835,3.9
bus,0.018579329829607076,0.017735226103677837,0.00869140135195297,4.0
car,0.2189069435454581,0.29358963299019164,0.1283689613522979,4.0
bus,0.018700927709086247,0.017972736099730817,0.008285931735569078,4.1
car,0.21772527340907705,0.29399713555023077,0.12890906993081813,4.1
bus,0.01833830400046487,0.01786689890031582,0.007470401679730551,4.2
car,0.2290439218860286,0.33239862356894834,0.11060379998453881,4.2
bus,0.018556640020167773,0.018285166398649848,0.007540702811243633,4.3
car,0.22944243955062973,0.33449625519115955,0.11014790755458703,4.3
bus,0.019247504382403524,0.017730909513188235,0.007932001074633164,4.4
car,0.2321388723918441,0.33060005260902914,0.10983022614802855,4.4
bus,0.019229735941891913,0.01838917476039208,0.007934196811591519,4.5
car,0.22847098631295243,0.3323223711138044,0.12385885153038494,4.5
bus,0.019511225473884893,0.018600031159964163,0.007566930548081244,4.6
car,0.24001289568922285,0.3305619407721656,0.12327140330954212,4.6
